date,price,percent_change,moving_avg_7
2024-07-01 00:00:00,62734.39383945474,,
2024-07-02 00:00:00,62819.82226921849,0.13617479110801245,
2024-07-03 00:00:00,62042.5650371006,-1.237280215131631,
2024-07-04 00:00:00,60244.68076433092,-2.897823891862894,
2024-07-05 00:00:00,57189.17412408636,-5.071828087524088,
2024-07-06 00:00:00,56739.86285107204,-0.7856579149743137,
2024-07-07 00:00:00,58230.4841542266,2.627114744825998,60000.14043421282
2024-07-08 00:00:00,55880.3753776708,-4.035873667701962,59020.99493967226
2024-07-09 00:00:00,56665.14073352028,1.4043666502696173,58141.7547202868
2024-07-10 00:00:00,57988.30351208401,2.3350560175720236,57562.57450242729
2024-07-11 00:00:00,57704.20228446288,-0.4899285035333434,57199.64900530328
2024-07-12 00:00:00,57388.19247916668,-0.5476374211680013,57228.08019888618
2024-07-13 00:00:00,57899.28895749592,0.8905951838695358,57393.71249980388
2024-07-14 00:00:00,59152.71913887286,2.1648455515526077,57525.46035475335
2024-07-15 00:00:00,60942.32773996293,3.025403780489966,58248.59640650936
2024-07-16 00:00:00,64835.48973321571,6.388272548210927,59415.789120751564
2024-07-17 00:00:00,65162.23625234354,0.5039624447541247,60440.63665507436
2024-07-18 00:00:00,64136.31384360687,-1.5744125244010032,61359.50973495207
2024-07-19 00:00:00,63959.56900809379,-0.2755768533003966,62298.27781051309
2024-07-20 00:00:00,66689.54880734957,4.268289861225161,63554.02921763504
2024-07-21 00:00:00,67206.06470614894,0.7745080121796422,64704.50715581734
2024-07-22 00:00:00,68088.13996324532,1.3124935390178782,65725.33747342911
2024-07-23 00:00:00,67607.71339918874,-0.7055950776683417,66121.36942571097
2024-07-24 00:00:00,65942.41746522837,-2.463174466687923,66232.82388469452
2024-07-25 00:00:00,65403.53513022529,-0.817201364034359,66413.85549706858
2024-07-26 00:00:00,65749.96361965332,0.5296785391466274,66669.62615586279
2024-07-27 00:00:00,67920.2964857025,3.300888314713002,66845.44725277035
2024-07-28 00:00:00,68055.40838968738,0.19892714103995068,66966.78206470441
2024-07-29 00:00:00,68242.2474440493,0.2745396123289279,66988.79741910499
2024-07-30 00:00:00,66770.32091848266,-2.156913906995006,66869.16992186125
2024-07-31 00:00:00,66219.05102486102,-0.825621153288536,66908.68900180879
2024-08-01 00:00:00,64679.77864703252,-2.324515911970104,66805.29521849552
2024-08-02 00:00:00,65357.52960767435,1.0478560298426753,66749.23321678424
2024-08-03 00:00:00,61407.29547397454,-6.044038318786093,65818.80450082311
2024-08-04 00:00:00,60738.7449250574,-1.0887151823849361,64773.56686301883
2024-08-05 00:00:00,58006.206586686734,-4.498838989416409,63311.27531196703
2024-08-06 00:00:00,53956.26184159744,-6.981916217942807,61480.695443840574
2024-08-07 00:00:00,55959.84107399357,3.713339590274356,60015.09402228808
2024-08-08 00:00:00,55099.95181146735,-1.5366184857266152,58646.54733149306
2024-08-09 00:00:00,61859.03159904161,12.266943192076575,58146.76190168838
2024-08-10 00:00:00,60912.588533350805,-1.5299998096081957,58076.08948159927
2024-08-11 00:00:00,60887.70861641504,-0.04084527933359006,58097.37000893608
2024-08-12 00:00:00,58804.23449992608,-3.4218303888139068,58211.373996541704
2024-08-13 00:00:00,59350.07433270696,0.9282321884175992,58981.91863812878
2024-08-14 00:00:00,60601.22317789727,2.108083029814889,59644.973224400725
2024-08-15 00:00:00,58739.19382231015,-3.072593683663871,60164.86494023541
2024-08-16 00:00:00,57624.11692852191,-1.8983523968024274,59559.87713016117
2024-08-17 00:00:00,58881.92579151217,2.1827820191161917,59269.78245275566
2024-08-18 00:00:00,59430.79163445865,0.9321465552772246,59061.65145533332
2024-08-19 00:00:00,58438.29374268541,-1.670006177736616,59009.37420429893
2024-08-20 00:00:00,59574.94581294088,1.9450466422930912,59041.498701475204
2024-08-21 00:00:00,59060.12610074137,-0.8641547301041497,58821.34197616723
2024-08-22 00:00:00,61144.68762866613,3.529558207121042,59164.98394850379
2024-08-23 00:00:00,60387.54062321362,-1.238287469960897,59559.758762031175
2024-08-24 00:00:00,64049.68561555576,6.064404932785705,60298.010165465974
2024-08-25 00:00:00,64157.1606134782,0.16779941523450415,60973.20573389734
2024-08-26 00:00:00,64265.81631272862,0.16935864712752657,61805.70895818923
2024-08-27 00:00:00,62922.58634676265,-2.090115776993451,62283.943320163766
2024-08-28 00:00:00,59526.560879590994,-5.397148566742571,62350.576859999426
2024-08-29 00:00:00,59015.29633887944,-0.8588847283580336,62046.37810431561
2024-08-30 00:00:00,59351.5794909728,0.5698237117413463,61898.38365685264
2024-08-31 00:00:00,59156.24603646356,-0.3291124788666222,61199.32085983946
2024-09-01 00:00:00,58960.23658664587,-0.331341934200613,60456.90314172056
2024-09-02 00:00:00,57357.71617282246,-2.7179680859461985,59470.031693162535
2024-09-03 00:00:00,59108.73235863689,3.0527996974958116,58925.19540914457
2024-09-04 00:00:00,57504.53858622044,-2.713970860824999,58636.33508152021
2024-09-05 00:00:00,57987.84601410068,0.8404683173930394,58489.556463694666
2024-09-06 00:00:00,56132.4047320886,-3.1997071965061408,58029.67435528264
2024-09-07 00:00:00,53923.35611071905,-3.9354248796448443,57282.11865160486
2024-09-08 00:00:00,54150.9383589072,0.4220476331644907,56595.07604764219
2024-09-09 00:00:00,54792.40755768575,1.18459479783517,56228.603388336945
2024-09-10 00:00:00,57049.11875114327,4.118656751999161,55934.37287298072
2024-09-11 00:00:00,57624.16178336144,1.0079788168623427,55951.46190114371
2024-09-12 00:00:00,57381.76444500048,-0.42065225915519644,55864.87881984368
